Upload Animal Image,Choose Model,output,timestamp
.gradio\flagged\Upload Animal Image\545ff361f2a8b5b7f975\lion.jpg,ResNet50,Prediction: dog,2025-04-18 11:15:46.231406
.gradio\flagged\Upload Animal Image\44aae7448b2583626595\lion.jpg,Random Forest,Prediction: lion,2025-04-18 11:15:54.758684
